STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Anhui-Battery_Storage-11177,2040.06.26.00,0.0
Anhui-Battery_Storage-11177,2040.06.26.04,0.0
Anhui-Battery_Storage-11177,2040.06.26.08,0.0
Anhui-Battery_Storage-11177,2040.06.26.12,0.0
Anhui-Battery_Storage-11177,2040.06.26.16,0.0
Anhui-Battery_Storage-11177,2040.06.26.20,0.0
Anhui-Battery_Storage-11177,2040.12.19.00,0.0
Anhui-Battery_Storage-11177,2040.12.19.04,0.0
Anhui-Battery_Storage-11177,2040.12.19.08,-0.0
Anhui-Battery_Storage-11177,2040.12.19.12,-0.0
Anhui-Battery_Storage-11177,2040.12.19.16,0.0
Anhui-Battery_Storage-11177,2040.12.19.20,0.0
Anhui-Battery_Storage-11177,2050.06.12.00,0.0
Anhui-Battery_Storage-11177,2050.06.12.04,0.0
Anhui-Battery_Storage-11177,2050.06.12.08,403218.4420336037
Anhui-Battery_Storage-11177,2050.06.12.12,0.0
Anhui-Battery_Storage-11177,2050.06.12.16,403218.4420336037
Anhui-Battery_Storage-11177,2050.06.12.20,0.0
Anhui-Battery_Storage-11177,2050.12.12.00,0.0
Anhui-Battery_Storage-11177,2050.12.12.04,0.0
Anhui-Battery_Storage-11177,2050.12.12.08,95518.09100881702
Anhui-Battery_Storage-11177,2050.12.12.12,403218.4420336037
Anhui-Battery_Storage-11177,2050.12.12.16,0.0
Anhui-Battery_Storage-11177,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.04,10.43898104150211
Anhui-Hydro_Pumped-ep-35020,2040.06.26.08,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2040.06.26.12,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2040.06.26.16,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2040.06.26.20,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.04,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.12,64.79826816753632
Anhui-Hydro_Pumped-ep-35020,2040.12.19.16,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.20,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.00,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.08,75.92
Anhui-Hydro_Pumped-ep-35020,2050.06.12.12,75.92
Anhui-Hydro_Pumped-ep-35020,2050.06.12.16,75.92
Anhui-Hydro_Pumped-ep-35020,2050.06.12.20,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.04,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.12,64.79826816753632
Anhui-Hydro_Pumped-ep-35020,2050.12.12.16,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.04,78.29235781126616
Anhui-Hydro_Pumped-ep-35027,2040.06.26.08,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2040.06.26.12,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2040.06.26.16,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2040.06.26.20,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.04,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.12,485.9870112565222
Anhui-Hydro_Pumped-ep-35027,2040.12.19.16,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.20,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.00,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.08,569.4
Anhui-Hydro_Pumped-ep-35027,2050.06.12.12,569.4
Anhui-Hydro_Pumped-ep-35027,2050.06.12.16,569.4
Anhui-Hydro_Pumped-ep-35027,2050.06.12.20,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.04,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.12,485.9870112565222
Anhui-Hydro_Pumped-ep-35027,2050.12.12.16,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35039,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35039,2040.06.26.04,234.8770734337976
Anhui-Hydro_Pumped-ep-35039,2040.06.26.08,965.605746338945
